script_id,title,year,gross,writer,producer,director,total female words,total male words,percentage female,percentage male
2073,"Crazy, Stupid, Love.",2011,92,m,f,m,4260,8177,34%,66%
2106,The Dark Knight,2008,645,m,m,m,3246,30290,10%,90%
2112,Date Night,2010,108,m,m,m,5690,9940,36%,64%
2130,Death at a Funeral,2010,47,m,m,m,3745,14995,20%,80%
2133,The Debt,2010,34,m,f,m,2072,3934,34%,66%
2144,The Departed,2006,175,m,m,m,2030,24518,8%,92%
2146,The Descendants,2011,90,m,m,m,4601,10291,31%,69%
2148,Despicable Me 2,2013,393,m,f,m,2271,3907,37%,63%
2177,Donnie Darko,2001,1,m,m,m,2982,3877,43%,57%
2182,Drag Me to Hell,2009,48,m,m,m,17236,7852,69%,31%
2184,Drive,2011,38,m,m,m,832,4443,16%,84%
2201,Eastern Promises,2007,21,m,m,m,1812,4033,31%,69%
2202,Easy A,2010,64,m,f,m,10289,1296,89%,11%
2232,Equilibrium,2002,1,m,f,m,354,2868,11%,89%
2240,Eternal Sunshine of the Spotless Mind,2004,47,m,m,m,12312,10952,53%,47%
2254,Extract,2009,12,m,m,m,2162,12887,14%,86%
2265,Fantastic Four,2005,210,m,m,m,3600,14088,20%,80%
2266,Fantastic Mr. Fox,2009,24,m,f,m,864,12442,6%,94%
2275,The Fault in Our Stars,2014,133,m,m,m,10031,8434,54%,46%
2289,The Fighter,2010,103,m,m,m,3744,10261,27%,73%
2294,Final Destination 2,2003,67,m,m,m,4968,2841,64%,36%
2296,Finding Nemo,2003,549,m,m,m,4704,14258,25%,75%
2313,Foxcatcher,2014,12,m,m,m,0,8057,0%,100%
2314,Fracture,2007,49,m,m,m,3612,20676,15%,85%
2337,Fright Night,2011,20,f,m,m,3092,13916,18%,82%
2343,Frozen,2013,429,f,m,m,2922,3875,43%,57%
2344,Frozen River,2008,3,f,m,f,9884,4134,71%,29%
2346,Fruitvale Station,2013,17,m,f,m,2955,4226,41%,59%
2352,Funny People,2009,60,m,m,m,7596,36278,17%,83%
2374,Garden State,2004,37,m,f,m,4784,13390,26%,74%
2382,Get Low,2009,10,m,m,m,2008,11588,15%,85%
2399,Ghost World,2001,9,m,f,m,18692,9122,67%,33%
2408,Gladiator,2000,303,m,m,m,2778,15594,15%,85%
2426,The Good Girl,2002,20,m,f,m,8864,6936,56%,44%
2436,Gran Torino,2008,179,m,m,m,4000,29092,12%,88%
2445,Gravity,2013,293,m,m,m,2580,3089,46%,54%
2460,The Grudge,2004,154,m,m,m,3532,2878,55%,45%
2465,Hall Pass,2011,49,m,m,m,6302,15848,28%,72%
2469,The Hangover,2009,321,m,m,m,3236,26538,11%,89%
2470,Hanna,2011,44,m,m,m,5722,4759,55%,45%
2492,Harry Potter and the Goblet of Fire,2005,393,m,m,m,3472,16212,18%,82%
2498,He's Just Not That Into You,2009,109,f,f,m,15708,11042,59%,41%
2530,The Help,2011,186,m,m,m,21540,1951,92%,8%
2535,Hesher,2010,,m,m,m,3462,6109,36%,64%
2536,High Fidelity,2000,44,m,m,m,10270,31114,25%,75%
2547,The Hitchhiker's Guide to the Galaxy,2005,69,m,m,m,2768,19252,13%,87%
2548,Hollow Man,2000,118,m,f,m,6032,10502,36%,64%
2551,Horrible Bosses,2011,129,m,m,m,1125,11150,9%,91%
2558,Hot Tub Time Machine,2010,55,m,m,m,1169,12196,9%,91%
2566,How to Train Your Dragon,2010,239,m,f,m,1947,14848,12%,88%
2567,How to Train Your Dragon 2,2014,188,m,f,m,1887,6638,22%,78%
2576,Human Nature,2001,1,m,m,m,8896,10308,46%,54%
2579,I Am Number Four,2011,60,m,m,m,2926,10237,22%,78%
2580,I Am Sam,2001,61,f,m,f,10596,5480,66%,34%
2582,I Love You Phillip Morris,2009,2,m,m,m,881,8417,9%,91%
2594,The Imaginarium of Doctor Parnassus,2009,8,m,f,m,2724,12290,18%,82%
2597,In the Loop,2009,2,m,m,m,7050,22050,24%,76%
2598,Inception,2010,323,m,m,m,2678,12406,18%,82%
2618,Insidious,2010,59,m,m,m,4351,3879,53%,47%
2619,Insomnia,2002,100,f,m,m,3606,10978,25%,75%
2625,Into the Wild,2007,23,m,m,m,6718,12204,36%,64%
2632,Invictus,2009,43,m,m,m,713,6534,10%,90%
2634,The Iron Lady,2011,32,f,m,f,4895,2075,70%,30%
2644,It's Complicated,2009,131,f,f,f,5765,5203,53%,47%
2651,The Jacket,2005,8,m,m,m,3013,7408,29%,71%
2660,Jane Eyre,2011,12,f,m,m,8849,7696,53%,47%
2664,Jason X,2001,19,m,m,m,3235,5130,39%,61%
2673,Jay and Silent Bob Strike Back,2001,46,m,m,m,4838,19270,20%,80%
2688,Juno,2007,180,f,m,m,17534,5138,77%,23%
2704,King Kong,2005,295,f,f,m,1394,9752,13%,87%
2708,The King's Speech,2010,153,m,m,m,1574,13746,10%,90%
2714,Knocked Up,2007,188,m,m,m,9169,15607,37%,63%
2719,Kung Fu Panda,2008,260,m,m,m,1058,10262,9%,91%
2736,Last Chance Harvey,2008,18,m,m,m,4380,6880,39%,61%
2739,The Last Samurai,2003,160,m,m,m,240,16556,1%,99%
2742,The Last Station,2009,7,m,f,m,7144,11926,37%,63%
2754,Les Misérables,2012,162,m,m,m,3079,10977,22%,78%
2769,Life of Pi,2012,136,m,m,m,289,6914,4%,96%
2775,Limitless,2011,86,f,m,m,1858,9012,17%,83%
2777,Lincoln,2012,198,m,f,m,1716,12134,12%,88%
2779,The Lincoln Lawyer,2011,63,m,m,m,3303,16138,17%,83%
2785,Little Nicky,2000,63,m,m,m,2418,14414,14%,86%
2804,Lord of War,2005,32,m,m,m,1530,18110,8%,92%
2805,The Losers,2010,25,m,f,m,914,7537,11%,89%
2812,Lost in Translation,2003,64,f,m,f,2220,1865,54%,46%
2814,Love & Basketball,2000,44,f,m,f,5638,4260,57%,43%
2815,Machete,2010,29,m,m,m,1939,3965,33%,67%
2852,Margin Call,2011,5,m,m,m,1107,11181,9%,91%
2854,Margot at the Wedding,2007,2,m,f,m,10594,5120,67%,33%
2857,Marley & Me,2008,173,m,m,m,6367,11120,36%,64%
2858,Martha Marcy May Marlene,2011,3,m,m,m,4657,2073,69%,31%
2865,Master and Commander: The Far Side of the World,2003,135,m,m,m,0,8524,0%,100%
2866,The Master,2012,17,m,m,m,1028,13654,7%,93%
2880,The Mechanic,2011,31,m,m,m,1164,7430,14%,86%
2887,Memento,2000,41,m,m,m,3646,16450,18%,82%
2894,Men in Black 3,2012,195,m,f,m,113,14351,1%,99%
2924,Minority Report,2002,197,m,f,m,2369,12078,16%,84%
2927,Mirrors,2008,37,m,m,m,4418,10022,31%,69%
2935,Mission: Impossible II,2000,347,m,m,m,3346,17418,16%,84%
2944,Monster's Ball,2001,48,m,m,m,889,2668,25%,75%
2945,Monte Carlo,2011,25,m,f,m,13256,3772,78%,22%
2946,Moon,2009,5,m,m,m,262,5110,5%,95%
2947,Moonrise Kingdom,2012,49,m,m,m,2347,5970,28%,72%
2959,Mud,2012,23,m,m,m,2578,18069,12%,88%
2962,Mulholland Drive,2001,11,m,m,m,8362,5368,61%,39%
2975,My Week with Marilyn,2011,16,m,f,m,9047,14201,39%,61%
2997,The Next Three Days,2010,23,m,m,m,1921,5079,27%,73%
3009,Nine,2009,22,m,f,m,2563,4795,35%,65%
3014,Ninja Assassin,2009,44,m,f,m,2864,4408,39%,61%
3019,No Strings Attached,2011,77,f,m,m,6259,8525,42%,58%
3026,Oblivion,2013,95,m,m,m,5007,8066,38%,62%
3029,Ocean's Eleven,2001,281,m,m,m,1046,19972,5%,95%
3031,Ocean's Twelve,2004,176,m,m,m,4136,15566,21%,79%
3040,Only God Forgives,2013,0,m,f,m,3228,9313,26%,74%
3055,Pandorum,2009,11,m,m,m,2126,16324,12%,88%
3059,Papadopoulos & Sons,2012,,m,f,m,1370,8537,14%,86%
3060,ParaNorman,2012,61,m,m,m,3929,10749,27%,73%
3062,Pariah,2011,0,f,f,f,7381,1793,80%,20%
3079,The Perks of Being a Wallflower,2012,19,m,f,m,2767,7188,28%,72%
3089,Phone Booth,2002,69,m,m,m,1464,14258,9%,91%
3092,The Pianist,2002,48,m,m,m,2578,8072,24%,76%
3097,Pineapple Express,2008,105,m,m,m,1602,13152,11%,89%
3105,Pitch Black,2000,63,m,m,m,4430,8966,33%,67%
3124,Precious,2009,55,m,f,m,17536,114,99%,1%
3133,Pride & Prejudice,2005,52,f,m,m,13437,5669,70%,30%
3135,Priest,2011,31,m,m,m,1814,10642,15%,85%
3141,The Producers,2005,26,f,f,m,956,16158,6%,94%
3162,Queen of the Damned,2002,45,f,f,m,5762,10056,36%,64%
3167,Rachel Getting Married,2008,15,f,f,m,10084,5774,64%,36%
3178,The Reader,2008,41,m,m,m,4716,9588,33%,67%
3189,Red Riding Hood,2011,41,m,m,f,9922,8890,53%,47%
3194,Remember Me,2010,21,m,f,m,3750,5458,41%,59%
3204,Resident Evil,2002,59,m,m,m,2264,3545,39%,61%
3209,Revolutionary Road,2008,27,m,f,m,8686,10372,46%,54%
3212,Rise of the Guardians,2012,112,m,f,m,931,7742,11%,89%
3213,Rise of the Planet of the Apes,2011,194,m,m,m,1537,7447,17%,83%
3218,The Road,2009,,m,m,m,911,14436,6%,94%
3237,The Roommate,2011,40,m,m,m,12294,1839,87%,13%
3240,The Ruins,2008,21,m,m,m,10438,14216,42%,58%
3244,Rush,2013,28,m,m,m,999,8378,11%,89%
3265,Saving Mr. Banks,2013,89,f,m,m,10476,6893,60%,40%
3271,Saw,2004,77,m,m,m,2916,20780,12%,88%
3280,Scott Pilgrim vs. the World,2010,34,m,m,m,6935,13478,34%,66%
3285,Scream 3,2000,143,m,m,m,7720,7712,50%,50%
3294,Serenity,2005,34,m,m,m,8102,20962,28%,72%
3298,The Sessions,2012,6,m,m,m,4680,6424,42%,58%
3300,Sex and the City,2008,185,m,m,m,25184,5142,83%,17%
3313,Shame,2011,4,m,m,m,1937,4311,31%,69%
3331,Shrek,2001,411,m,m,m,3288,17246,16%,84%
